CIPCODE,CIPDESC,CIPDefinition
4227,Research and Experimental Psychology.,A program that focuses on the scientific study of the mechanisms and processes of learning and thinking  and associated information encoding  decoding  processing and transmitting systems.  Includes instruction in theories of cognition and intelligence; studies of cognitive processes such as memory  sensation  perception  pattern recognition  problem solving  and conceptual thinking; cybernetics; psycholinguistics; and the study of biological and social communications mechanisms and processes.
999,Communication  Journalism  and Related Programs  Other.,Any instructional program in communication  journalism  and related fields not listed above.
5001,Visual and Performing Arts  General.,A general  undifferentiated program that focuses on the visual and performing arts and that may prepare individuals in any of the visual artistic media or performing disciplines.
3023,Intercultural/Multicultural and Diversity Studies.,A program that focuses on the dynamic social relations between and among majority and minority groups and different minority groups  and ways to promote mutual tolerance  inter-group cooperation  and the leadership and management of diverse groups and diversity issues in family  educational  recreational  and work settings.  Includes instruction in ethnic and cultural studies  group psychology  sociology  anthropology  conflict resolution  human services and resources  and applications to various functional environments.
3905,Religious Music and Worship.,A program that focuses on the history  theory  composition  and performance of music for religious or sacred purposes  and that prepares individuals for religious musical vocations such as choir directors  cantors  organists  and chanters.
1501,Architectural Engineering Technologies/Technicians.,A program that prepares individuals to apply basic engineering principles and technical skills in support of architects  engineers and planners engaged in designing and developing buildings  urban complexes  and related systems.  Includes instruction in design testing procedures  building site analysis  model building and computer graphics  engineering drawing  structural systems testing  analysis of prototype mechanical and interior systems  test equipment operation and maintenance  and report preparation.
4103,Physical Science Technologies/Technicians.,A program that prepares individuals to apply scientific principles and technical skills in support of chemical and biochemical research and industrial operations.  Includes instruction in principles of chemistry and biochemistry  technical mathematics  computer applications  radiochemistry  industrial biochemistry  chemical instrumentation  physical chemistry  laboratory research methods  industrial processing methods and equipment  and test equipment operation and maintenance.
3033,Sustainability Studies.,A program that focuses on the concept of sustainability from an interdisciplinary perspective. Includes instruction in sustainable development  environmental policies  ethics  ecology  landscape architecture  city and regional planning  economics  natural resources  sociology  and anthropology.
3199,Parks  Recreation  Leisure  Fitness  and Kinesiology  Other.,Any instructional program in parks  recreation  leisure  fitness  and kinesiology not listed above.
5010,Arts  Entertainment  and Media Management.,A program that prepares individuals to organize and manage various aspects of the visual arts  performing arts  and entertainment media industries.  Includes instruction in business and financial management  marketing and fund-raising  labor relations for the arts  event promotion and management  product and artist management  and applicable law.
4902,Ground Transportation.,A program that prepares individuals to apply technical knowledge and skills to operate and maintain a variety of heavy equipment  such as a crawler tractors  motor graders and scrapers  shovels  rigging devices  hoists  and jacks.  Includes instruction in digging  ditching  sloping  stripping  grading  and backfiling  clearing and excavating.
4704,Precision Systems Maintenance and Repair Technologies/Technicians.,A program that prepares individuals to apply technical knowledge and skills to make  repair  maintain  and modify firearms according to blueprints or customer specifications  using specialized hand tools and machines.
113,Agriculture/Veterinary Preparatory Programs.,A program that prepares individuals for admission to a professional program in veterinary medicine.
499,Architecture and Related Services  Other.,Any instructional program in architecture and related programs not listed above.
1412,Engineering Physics.,A program focusing on the use of physics principles in the analysis and evaluation of engineering problems and other scientific applications. Includes instruction in high- and low-temperature phenomena  computational physics  superconductivity  applied thermodynamics  molecular and particle physics applications  and space science research.
1612,Classics and Classical Languages  Literatures  and Linguistics  General.,A general program that focuses on the literary culture of the ancient Graeco-Roman world and the Greek and Latin languages and literatures and their development prior to the fall of the Roman Empire.
3899,Philosophy and Religious Studies  Other.,Any instructional program in philosophy and religion not listed above.
4400,Human Services  General.,A program that focuses on the general study and provision of human and social services to individuals and communities and prepares individuals to work in public and private human services agencies and organizations.  Includes instruction in the social sciences  psychology  principles of social service  human services policy  planning and evaluation  social services law and administration  and applications to particular issues  services  localities  and populations.
5099,Visual and Performing Arts  Other.,Any instructional program in visual and performing arts not listed above.
5127,Medical Illustration and Informatics.,A program that prepares individuals to apply the principles and techniques of art and computer-assisted imaging  graphics  and animation to create visual materials to facilitate the recording and dissemination of biomedical knowledge for educational  research  and clinical purposes.  Includes instruction in anatomy  physiology  pathology  histology  embryology  neuroanatomy  medical terminology  artistic media and techniques  illustration techniques  three-dimensional modeling  prosthetics  data display design  exhibit design and production  medical photography  multimedia  computer graphics and animation  digital imaging  business management  production technology  and instructional design.
1427,Systems Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the design  development and operational evaluation of total systems solutions to a wide variety of engineering problems  including the integration of human  physical  energy  communications  management  and information requirements as needed  and the application of requisite analytical methods to specific situations.
3011,Gerontology.,A program that focuses on the human aging process and aged human populations  using the knowledge and methodologies of the social sciences  psychology and the biological and health sciences.
3010,Biopsychology.,A program that focuses on biological and psychological linkages  especially the linkages between biochemical and biophysical activity and the functioning of the central nervous system.
1199,Computer and Information Sciences and Support Services  Other.,Any instructional program in computer and information sciences and support services not listed above.
1511,Engineering-Related Technologies/Technicians.,A program that prepares individuals to apply mathematical and scientific principles to the delineation  determination  planning and positioning of land tracts  land and water boundaries  land contours and features; and the preparation of related maps  charts and reports.  Includes instruction in applied geodesy  computer graphics  photointerpretation  plane and geodetic surveying  mensuration  traversing  survey equipment operation and maintenance  instrument calibration  and basic cartography.
1616,American Sign Language.,A program that focuses on American Sign Language as a visual and motor medium of communication and discourse for deaf individuals and deaf culture.  Includes instruction in the development of ASL  ASL morphology and syntax  signing technique  English translation of ASL  formal and colloquial ASL  and ASL transcription.
112,Soil Sciences.,A program that generally focuses on the scientific classification of soils  soil properties  and their relationship to agricultural crops.  Includes instruction in soil chemistry  soil physics  soil biology  soil fertility  morphogenesis  mineralogy  hydrology  agronomy  and soil conservation and management.
409,Architectural Sciences and Technology.,A program that prepares individuals to assist architects in developing plans and related documentation and in performing architectural office services.  Includes instruction in architectural drafting  computer-assisted drafting and design  construction methods and materials  environmental systems  building codes and standards  structural principles  cost estimation  planning documentation  visual communication skills  display production  and architectural office management.
4405,Public Policy Analysis.,A program that focuses on the systematic analysis of public policy issues and decision processes.  Includes instruction in the role of economic and political factors in public decision-making and policy formulation  microeconomic analysis of policy issues  resource allocation and decision modeling  cost/benefit analysis  statistical methods  and applications to specific public policy topics.
5220,Construction Management.,A program that prepares individuals to manage  coordinate  and supervise the construction process. Includes instruction in commercial  residential  mechanical  highway/heavy civil  electrical  environmental  industrial  and specialty construction; facilities management; budgeting and cost control; logistics and materials management; organization and scheduling; personnel management and labor relations; site safety; construction contracting; construction processes and techniques; and applicable codes and regulations.
1422,Naval Architecture and Marine Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the design  development and operational evaluation of self-propelled  stationary  or towed vessels operating on or under the water  including inland  coastal and ocean environments; and the analysis of related engineering problems such as corrosion  power transfer  pressure  hull efficiency  stress factors  safety and life support  environmental hazards and factors  and specific use requirements.
1509,Mining and Petroleum Technologies/Technicians.,A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in the development and operation of mines and related mineral processing facilities.  Includes instruction in principles of mineral extraction and related geology  mineral field mapping and site analysis  testing and sampling methods  instrument calibration  assay analysis  test equipment operation and maintenance  mine environment and safety monitoring procedures  mine inspection procedures  and report preparation.
1610,American Indian/Native American Languages  Literatures  and Linguistics.,A program that focuses on one or more of the languages native to the Western Hemisphere  with an emphasis on American Indian languages  but including other Native American languages. Includes instruction in philology; oral and written literatures; Inuit and Aleut languages; North American language families  including  but not limited to  Algonkian  Athabascan  Siouan  Muskogean  Iroquoian  Kumeyaay  Yuman  Mayan  Zapotecan  and Uto-Aztecan; South American language families  including  but not limited to  Andean-Equatorial  Ge-Pano-Carib  and Macro-Chibchan; and other minor languages.
3106,Outdoor Education.,A program that prepares individuals to work as an educator  instructor or facilitator in parks  recreational facilities  camps and other outdoor settings. Includes instruction in leadership skills  wilderness survival skills  first aid  group processes  counseling techniques  environmental studies and instruction in recreational activities such as rock climbing  ropes courses  backpacking  kayaking and canoeing.
4402,Community Organization and Advocacy.,A program that focuses on the theories  principles  and practice of organizing and providing services to communities. May prepare individuals to apply such knowledge and skills in community service positions.
303,Fishing and Fisheries Sciences and Management.,A program that focuses on the scientific study of the husbandry and production of non-domesticated fish and shellfish populations for recreational and commercial purposes and the management of fishing and marine/aquatic product processing to ensure adequate conservation and efficient utilization.  Includes instruction in the principles of marine/aquatic biology  freshwater and saltwater ecosystems  water resources  fishing production operations and management  fishing policy and regulation  and the management of recreational and commercial fishing activities.
399,Natural Resources and Conservation  Other.,Any instructional program in natural resources and conservation not listed above.
1315,Teaching Assistants/Aides.,A program that prepares individuals to assist a teacher in regular classroom settings or in providing instruction and supervision to special student populations  such as bilingual/bicultural students  special education students  adult learners  and students learning English.  Includes instruction in techniques of general classroom supervision  maintaining order  assisting with lessons and carrying out related assignments.
1421,Mining and Mineral Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the design  development and operational evaluation of mineral extraction  processing and refining systems  including open pit and shaft mines  prospecting and site analysis equipment and instruments  environmental and safety systems  mine equipment and facilities  mineral processing and refining methods and systems  and logistics and communications systems.
1425,Petroleum Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the design  development and operational evaluation of systems for locating  extracting  processing and refining crude petroleum and natural gas  including prospecting instruments and equipment  mining and drilling systems  processing and refining systems and facilities  storage facilities  transportation systems  and related environmental and safety systems.
1439,Geological/Geophysical Engineering.,A program that prepares individuals to apply mathematical and geological principles to the analysis and evaluation of engineering problems  including the geological evaluation of construction sites  the analysis of geological forces acting on structures and systems  the analysis of potential natural resource recovery sites  and applied research on geological phenomena.
1603,East Asian Languages  Literatures  and Linguistics  General.,A general program that focuses on one or more of the languages of East Asia  including  but not limited to  the Sino-Tibetan  Japanese  and Korean languages. Includes instruction in philology; linguistics; dialects and pidgins; literature; and applications to business  science/technology  and other settings.
1699,Foreign Languages  Literatures  and Linguistics  Other.,Any instructional program in foreign languages  literatures  and linguistics not listed above.
3032,Marine Sciences.,A program that focuses on the study of biology  chemistry  geology and physics applied to marine  estuarine and coastal environments.  Includes instruction in marine biogeochemistry  atmosphere and ocean dynamics  coastal ecology  coastal ocean processes  microbial ecology  marine ecosystem modeling  and polar microbiology.
4002,Astronomy and Astrophysics.,A general program that focuses on the planetary  galactic  and stellar phenomena occurring in outer space.  Includes instruction in celestial mechanics  cosmology  stellar physics  galactic evolution  quasars  stellar distribution and motion  interstellar medium  atomic and molecular constituents of astronomical phenomena  planetary science  solar system evolution  and specific methodologies such as optical astronomy  radioastronomy  and theoretical astronomy.
4600,Construction Trades  General.,A program that generally prepares individuals to apply technical knowledge and skills in the building  inspecting  and maintaining of structures and related properties.  May include instruction in masonry  carpentry  electrical and power transmission installation  building/construction finishing  management  inspection and other construction-related applications.
5006,Film/Video and Photographic Arts.,A program in the visual arts that focuses on the study of the history  development  theory  and criticism of the film/media arts  as well as the basic principles of filmmaking and film production.
4903,Marine Transportation.,A program that prepares individuals to apply technical knowledge and skills to function as commercial fishermen  fishing operations supervisors or in related fishing industry operations.  Includes instruction in fishing vessel operation; fishing equipment operation and maintenance; equipment repair; catch identification  sorting  and storage; safety procedures; record keeping; and applicable legal regulations.
5002,Crafts/Craft Design  Folk Art and Artisanry.,A program that focuses on the aesthetics  techniques  and creative processes for designing and fashioning objects in one or more of the handcraft or folk art traditions  and that prepares individuals to create in any of these media.
4202,Psychology  General.,A general program that focuses on the scientific study of individual and collective behavior  the physical and environmental bases of behavior  and the analysis and treatment of behavior problems and disorders.  Includes instruction in the principles of the various subfields of psychology  research methods  and psychological assessment and testing methods.
5118,Ophthalmic and Optometric Support Services and Allied Professions.,A program that prepares individuals to adapt and fit corrective eyewear  including eyeglasses and contact lenses  as prescribed by ophthalmologists or optometrists; to assist patients in selecting appropriate frames; and to prepare work orders for ophthalmic laboratory technicians.  Includes instruction in geometrical optics  ophthalmic optics  anatomy of the eye  optical instrumentation  use and maintenance of adjustment and cleaning tools  prescription interpretation  contact lens adaptation and fitting  prosthesis fitting  facial and eye measuring  pathology identification  record-keeping  and patient and business administrative tasks.
5126,Health Aides/Attendants/Orderlies.,A program that prepares individuals to provide routine care and assistance to patients under the direct supervision of other health care professionals  and/or to perform routine maintenance and general assistance in health care facilities and laboratories.
910,Publishing.,A program that focuses on the process of managing the creation  publication  and distribution of print and electronic books and other text products and prepares individuals to manage the editorial  technical  and business aspects of publishing operations.  Includes instruction in product planning and design  editing  author relations  business and copyright law  publishing industry operations  contracting and purchasing  product marketing  electronic publishing and commerce  history of publishing  and professional standards and ethics.
1105,Computer Systems Analysis.,A program that prepares individuals to apply programming and systems analysis principles to the selection  implementation  and troubleshooting of customized computer and software installations across the life cycle.  Includes instruction in computer hardware and software; compilation  composition  execution  and operating systems; low- and high-level languages and language programming; programming and debugging techniques; installation and maintenance testing and documentation; process and data flow analysis; user needs analysis and documentation; cost-benefit analysis; and specification design.
1302,Bilingual  Multilingual  and Multicultural Education.,A program that focuses on the design and provision of teaching and other educational services to bilingual/bicultural children or adults  and/or the design and implementation of educational programs having the goal of producing bilingual/bicultural individuals.  Includes preparation to serve as teachers and administrators in bilingual/bicultural education programs.
1309,Social and Philosophical Foundations of Education.,A program that focuses on the systematic study of education as a social and cultural institution  and the educational process as an object of humanistic inquiry.  Includes instruction in such subjects as the philosophy of education  history of education  educational literature  educational anthropology  sociology of education  economics and politics of education  educational policy studies  and studies of education in relation to specific populations  issues  social phenomena  and types of work.
1413,Engineering Science.,A program with a general focus on the general application of various combinations of mathematical and scientific principles to the analysis and evaluation of engineering problems  including applied research in human behavior  statistics  biology  chemistry  the earth and planetary sciences  atmospherics and meteorology  and computer applications.
1436,Manufacturing Engineering.,A program that prepares individuals to apply scientific and mathematical principles to the design  development  and implementation of manufacturing systems.  Includes instruction in materials science and engineering  manufacturing processes  process engineering  assembly and product engineering  manufacturing systems design  and manufacturing competitiveness.
1515,Engineering-Related Fields.,A program that focuses on the application of engineering principles to the planning and operational management of industrial and manufacturing operations  and prepares individuals to plan and manage such operations.  Includes instruction in accounting  engineering economy  financial management  industrial and human resources management  industrial psychology  management information systems  mathematical modeling and optimization  quality control  operations research  safety and health issues  and environmental program management.
1516,Nanotechnology.,A program that prepares individuals to apply mathematical  scientific  and engineering principles and technical skills to manipulate matter at the atomic and molecular level (in the range of 1-100 nanometers) and to design  fabricate  and integrate nanoscale structures  devices  and systems. Includes instruction in materials science  thermodynamics  nanomaterials  nanoelectronics  and nano/micro device fabrication and testing.
1517,Energy Systems Technologies/Technicians.,A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing energy-efficient systems or monitoring energy use.  Includes instruction in principles of energy conservation  instrumentation calibration  monitoring systems and test procedures  energy loss inspection procedures  energy conservation techniques  and report preparation.
1604,Slavic Languages  Literatures  and Linguistics  General.,A general program that focuses on one or more of the Slavic languages of Central and Eastern Europe.  Includes instruction in philology; linguistics; dialects and pidgins; literature; and applications to business  science/technology  and other settings.
1611,Middle/Near Eastern and Semitic Languages  Literatures  and Linguistics  General.,A general program that focuses on one or more of the Middle/Near Eastern and Semitic languages of the ancient and modern Middle/Near East  Western Asia  North Africa  and Europe. Includes instruction in philology; linguistics; dialects and pidgins; literature; and applications to business  science/technology  and other settings.
1902,Family and Consumer Sciences/Human Sciences Business Services.,A program that focuses on the relationship between the economy and the consuming individual and family.  Includes instruction in consumption theory and practice  the production and distribution of retail goods and services  and the management of business enterprises.
2603,Botany/Plant Biology.,A program that focuses on the scientific study of plants  related microbial organisms  and plant habitats and ecosystem relations.  Includes instruction in plant anatomy and structure  phytochemistry  cytology  plant genetics  plant morphology and physiology  plant ecology  plant taxonomy and systematics  paleobotany  and applications of biophysics and molecular biology.
2799,Mathematics and Statistics  Other.,Any instructional program in mathematics and  statistics not listed above.
3013,Medieval and Renaissance Studies.,A program that focuses on the  study of the Medieval and/or Renaissance periods in European and circum-Mediterranean history from the perspective of various disciplines in the humanities and social sciences  including history and archeology  as well as studies of period art and music.
3014,Museology/Museum Studies.,A program that focuses on the attitudes  knowledge  and skills required to develop  prepare  organize  administer  conserve  store and retrieve artifacts  exhibits and entire collections in museums and galleries  and that prepares individuals to assume curatorial  technical and managerial positions in museums.  Includes instruction in institutional management  acquisition  exhibit design  conservation  packing techniques  and public relations.
3025,Cognitive Science.,A program that focuses on the study of the mind and the nature of intelligence from the interdisciplinary perspectives of computer science  philosophy  mathematics  psychology  neuroscience  and other disciplines.  Includes instruction in mathematics and logic  cognitive process modeling  dynamic systems  learning theories  brain and cognition  neural networking  programming  and applications to topics such as language acquisition  computer systems  and perception and behavior.
3026,Cultural Studies/Critical Theory and Analysis.,An interdisciplinary program that focuses on the analysis and critique of culture in its varied forms  including values  ideas  belief systems  and expressive acts  and the relationship between cultural forms  everyday life  and structures of power.  Includes instruction in anthropology  communications  history  literary studies  philosophy  political economy  and sociology  as well as recent theories and methodologies such as semiotics  deconstruction  postcolonial studies  gender theory  and ethnography.
4505,Demography.,A program that focuses on the systematic study of population models and population phenomena  and related problems of social structure and behavior.  Includes instruction in population growth  spatial distribution  mortality and fertility factors  migration  dynamic population modeling  population estimation and projection  mathematical and statistical analysis of population data  population policy studies  and applications to problems in economics and government planning.
4512,Urban Studies/Affairs.,A program that focuses on the application of social science principles to the study of urban institutions and the forces influencing urban social and political life.  Includes instruction in urban theory  the development and evolution of urban areas  urban sociology  principles of urban and social planning  and the politics and economics of urban government and services.
1403,Agricultural Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the design  development and operational evaluation of systems  equipment and facilities for production  processing  storage  handling  distribution and use of food  feed  and fiber. Includes applications to aquaculture  forestry  human and natural resources.
1608,Iranian/Persian Languages  Literatures  and Linguistics.,A program that focuses on the languages used in ancient  medieval  and modern Iran and its border regions  including modern Persian  Avestan/Old Persian  and related modern and extinct languages. Includes instruction in applications of modern Persian and other languages in business  science/technology  and other settings.
2902,Intelligence  Command Control and Information Operations.,A program that focuses on the principles and techniques of intelligence acquisition  analysis and exploitation.  Includes instruction in intelligence organizations  the intelligence cycle  intelligence operations planning  intelligence analysis and reporting  intelligence methods  electronic and signals intelligence  operations and communications security  human intelligence management  intelligence chain of command  information exploitation and psychological warfare  and the relationship to national security policy and strategy.
3012,Historic Preservation and Conservation.,A program that focuses on the design and implementation of plans to restore and maintain historic buildings  districts  and landscapes in a way that balances conservation and preservation with commercial and development interests. Includes instruction in architectural history  building conservation  cultural resource management  economics  historical documentation and preservation  land-use and zoning codes  public policy  public relations  real estate law  and taxation.
4503,Archeology.,A program that focuses on the systematic study of extinct societies  and the past of living societies  via the excavation  analysis and interpretation of their artifactual  human  and associated remains.  Includes instruction in archeological theory  field methods  dating methods  conservation and museum studies  cultural and physical evolution  and the study of specific selected past cultures.
5114,Medical Clinical Sciences/Graduate Medical Studies.,An undifferentiated clinical science program that prepares clinicians to conduct clinical and translational research in various areas. Note: programs that prepare clinicians to conduct research in specific scientific fields should report under the relevant CIP code series (e.g.  Series 26 Biological and Biomedical Sciences).
102,Agricultural Mechanization.,A program that generally prepares individuals to sell  select  and service agricultural or agribusiness technical equipment and facilities  including computers  specialized software  power units  machinery  equipment structures  and utilities.  Includes instruction in agricultural power systems  planning and selecting materials for the construction of support facilities  mechanical practices associated with irrigation and water conservation  erosion control  and agricultural data processing systems.
1442,Mechatronics  Robotics  and Automation Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the design  development and operational evaluation of computer controlled electro-mechanical systems and products with embedded electronics  sensors  and actuators; and which includes  but is not limited to  automata  robots and automation systems. Includes instruction in mechanical engineering  electronic and electrical engineering  computer and software engineering  and control engineering.
3016,Accounting and Computer Science.,A program that combines accounting with computer science and/or computer studies.
4101,Biology/Biotechnology Technologies/Technicians.,A program that prepares individuals to apply scientific principles and technical skills in support of biologists and biotechnologists in research  industrial  and government settings.  Includes instruction in fermentation technology  cell culturing  protein purification  biologic synthesis  assaying and testing  quality control  industrial microbiology  bioprocessing  chromatography and bioseparation  genetic technology  laboratory and hazardous materials safety  and computer applications.
2904,Military Systems and Maintenance Technology.,A program that focuses on the principles  technology  and maintenance of ground-based systems and equipments used to support aviation flight operations and space operations.  Includes instruction in computer science  electronics  basic sciences and quantitative methods  air conditioning and refrigeration  corrosion control  fluid power  hazardous materials  industrial safety  maintenance management  vehicle and equipment operation  and applications to specific ground support systems.
1106,Data Entry/Microcomputer Applications.,A program that generally prepares individuals to perform basic data and text entry using standard and customized software products.  Includes instruction in keyboarding skills  personal computer and work station operation  reading draft texts and raw data forms  audio and tape dictation  and various interactive software programs used for tasks such as word processing  spreadsheets  databases  and others.
2314,Literature.,A program that focuses on literature from one or more genres  cultures or traditions. Includes instruction in period and genre studies  author studies  literary criticism  and studies of various types of literary text.
5217,Insurance.,A program that prepares individuals to manage risk in organizational settings and provide insurance and risk-aversion services to businesses  individuals  and other organizations. Includes instruction in  casualty insurance and general liability  property insurance  employee benefits  social and health insurance  loss adjustment  underwriting  risk theory  and pension planning.
4699,Construction Trades  Other.,Any instructional program in construction trades not listed above.
5219,Specialized Sales  Merchandising and  Marketing Operations.,A program that prepares individuals for professional careers as auctioneers and auction managers  and for meeting applicable state licensing requirements.  Includes instruction in bid calling  public speaking  ringworking  auction techniques  salesmanship skills  auction clerking and cashiering  auction advertising  working independently or with auction houses  contracts and agency  applicable sales law  and managing both general auctions and auctions specializing in commodities such as antiques  consignments  farm equipment  industrial equipment  real estate  livestock  and automobiles.
2503,Library and Archives Assisting.,A program that prepares individuals to assist professional librarians and archivists. Includes instruction in principles  systems  processes  and procedures of library and archive operation; library resources and services; processes of acquisition  cataloging  storage  and display systems; discovery and retrieval of requested materials; and management of books  periodicals  and other documents and records.
1307,International and Comparative Education.,A program that focuses on the educational phenomena  practices  and institutions within different societies and states in a comparative perspective  and the study of international educational issues. Includes instruction in comparative research methods  country- or area-specific studies  cross-national studies of learning and teaching styles  international educational policy and development  and analyses of educational migration patterns and experiences.
2399,English Language and Literature/Letters  Other.,Any instructional program in English language and literature not listed above.
3030,Computational Science.,A program that focuses on the study of scientific computing and its application.  Includes instruction in scientific visualization  multi-scale analysis  grid generation  data analysis  applied mathematics  numerical algorithms  high performance parallel computing  and numerical modeling and simulation with applications in science  engineering and other disciplines in which computation plays an integral role.
3999,Theology and Religious Vocations  Other.,Any instructional program in theological studies and religious vocations not listed above.
1001,Communications Technologies/Technicians.,A program that generally prepares individuals to function as workers and managers within communications industries. Includes instruction in business economics; basic management; principles of interpersonal and mediated communications; radio  television  and digital media production; and related aspects of technology and communications systems.
1103,Data Processing.,A program that prepares individuals to master and use computer software programs and applications for inputting  verifying  organizing  storing  retrieving  transforming (changing  updating  and deleting)  and extracting information.  Includes instruction in using various operating system configurations and in types of data entry such as word processing  spreadsheets  calculators  management programs  design programs  database programs  and research programs.
5133,Alternative and Complementary Medicine and Medical Systems  General.,A general program that focuses on the theories  science  and practice of alternative and complementary medicine and medical systems. Includes instruction in understanding acupuncture  herbal medicine  naturopathy  homeopathy  and other alternative and complementary medicine modalities; mind-body therapies; nutrition; comparison of conventional and alternative medicine; and medical ethics; and may include training in specific alternative and complementary medicine modalities.
5136,Movement and Mind-Body Therapies and Education.,A program that prepares individuals to use functional and expressive integration strategies to help promote somatic awareness and optimal psychophysical functioning.  Includes instruction in skilled touch techniques  kinesthetic awareness processes  movement observation  patterning  client assessment and guidance  verbal and nonverbal communication  practice management  professional standards and ethics  and specific therapeutic and educational modalities
3601,Leisure and Recreational Activities.,A general program that focuses on the development of an appreciation for and competency in recreational and leisure-related activities. This CIP code is not valid for IPEDS reporting.
3005,Peace Studies and Conflict Resolution.,A program that focuses on the origins  resolution and prevention of international and inter-group conflicts. Includes instruction in peace research methods and related social scientific and psychological knowledge bases.
108,Agricultural Public Services.,A program that prepares individuals to provide referral  consulting  technical assistance  and educational services to gardeners  farmers  ranchers  agribusinesses  and other organizations.  Includes instruction in basic agricultural sciences  agricultural business operations  pest control  adult education methods  public relations  applicable state laws and regulations  and communication skills.
1514,Nuclear Engineering Technology/Technician.,A program that prepares individuals to apply basic engineering  knowledge and technical skills in support of engineer and other professionals operating nuclear facilities and engaged in nuclear applications and safety procedures.  Includes instruction in physics  nuclear science  nuclear systems  nuclear plant and systems design  radiological safety  radiological applications  and applicable law and regulations.
2599,Library Science  Other.,Any instructional program in library science not listed above.
2999,Military Technologies and Applied Sciences  Other.,Any instructional program in military technologies and applied sciences not listed above.
5116,Mental and Social Health Services and Allied Professions  Other.,Any instructional program in mental and social health services and allied professions not listed above.
1906,Housing and Human Environments.,A general program that focuses on the behavioral  social  economic  functional  and aesthetic aspects of housing  interiors  and other built environments.  Includes instruction in analyzing  planning  designing  furnishing  and equipping residential  work  and leisure spaces to meet user needs and the study of related public policies.
3027,Human Biology.,An interdisciplinary program that focuses on understanding the human being from the biological  social science  and humanities perspectives and that addresses contemporary issues related to biology and society  such as global health and disease  environmental policy  bioethics  and biotechnology.
4899,Precision Production  Other.,Any instructional program in precision production not listed above.
1099,Communications Technologies/Technicians and Support Services  Other.,Any instructional program in communications technologies and support services not listed above.
3031,Human Computer Interaction.,An interdisciplinary program that focuses on the study of the interaction between people and technology and how that technology impacts society  and combines disciplines within the fields of computing and information science (information systems  software engineering  artificial intelligence and design)  engineering  and the behavior sciences (cognitive science  cognitive psychology  sociology  organizational psychology  and social psychology).  Includes instruction in information technology  cognitive and behavioral sciences  and systems design.
3008,Mathematics and Computer Science.,A program with a general synthesis of mathematics and computer science or a specialization which draws from mathematics and computer science.
5302,High School/Secondary Certificate Programs.,An instructional program that defines the requirements for meeting the minimum high school/secondary completion requirements specified by a U.S. state or other jurisdiction  for adult learners who did not complete secondary school.  Includes undertaking a specified program of studies and obtaining a prescribed passing score on the General Educational Development Test (GED) or provincial examinations.  These awards represent the legally recognized equivalent of secondary school graduation. This CIP code is not valid for IPEDS reporting.
1437,Operations Research.,A program that focuses on the development and application of complex mathematical or simulation models to solve problems involving operational systems  where the system concerned is subject to human intervention.  Includes instruction in advanced multivariate analysis  application of judgment and statistical tests  optimization theory and techniques  resource allocation theory  mathematical modeling  control theory  statistical analysis  and applications to specific research problems.
1423,Nuclear Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the design  development and operational evaluation of systems for controlling and manipulating nuclear energy  including nuclear power plant design  fission reactor design  fusion reactor design  reactor control and safety systems design  power transfer systems  containment vessels and structures design; and the analysis of related engineering problems such as fission and fusion processes  human and environmental factors  construction  and operational considerations.
1613,Celtic Languages  Literatures  and Linguistics.,A program that focuses on the historical and modern languages spoken by the Celtic peoples of the British Isles  Continental Europe  and Asia Minor  including  but not limited to  modern languages such as Irish  Scots Gaelic  Welsh  and Breton; and extinct or revived languages such as Cornish  Manx  Galatian  and others. Includes instruction in philology; linguistics; dialects and pidgins; literature; and applications to business  science/technology  and other settings.
3022,Classical and Ancient Studies.,A program that focuses on Western and Non-Western cultures and related topics in the periods of Pre-history and Antiquity.  Includes such disciplines as ancient languages  archeology  history  art history  geography  population studies  environmental studies  religious studies  and the social sciences.
107,International Agriculture.,A program that focuses on the application of agricultural management and scientific principles to the problems of global food production and distribution  and to the study of the agricultural systems of other countries.  Includes instruction in agricultural economics; comparative agricultural systems; international agribusiness and law; third-world development studies and economic development; and global applications of climate  soil  water resources  ecological and environmental studies  and animal and plant sciences.
181,Veterinary Biomedical and Clinical Sciences.,An integrated program of study in one or more of the veterinary medical or clinical sciences or a program undifferentiated as to title.
1428,Textile Sciences and Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the design  development and operational evaluation of systems to test and manufacture fibers and fiber products  both synthetic and natural; to develop new and improved fibers  textiles and their uses; and to the analysis of related engineering problems such as structural factors  molecular synthesis  chemical manufacturing  weaves  strength and stress  useful life  dyes  and applications to composite systems.
3021,Holocaust and Related Studies.,A program that focuses on genocide in human history with particular reference to Twentieth Century genocides such as that of the Ottoman Armenians during World War I and the Nazi Holocaust during World War II.  Programs also focus on topics such as survivor studies and counseling  war crimes research and prevention  reconciliation and compensation  ethical and spiritual issues  holocaust art and literature  and legacy and effect in relation to subsequent generations.
